DATE,WSBASE
1991-01-09,308.664
1991-01-16,310.422
1991-01-23,307.469
1991-01-30,304.062
1991-02-06,305.181
1991-02-13,305.499
1991-02-20,308.858
1991-02-27,306.073
1991-03-06,310.207
1991-03-13,311.488
1991-03-20,312.348
1991-03-27,309.561
1991-04-03,313.001
1991-04-10,316.150
1991-04-17,315.019
1991-04-24,312.482
1991-05-01,313.628
1991-05-08,313.237
1991-05-15,315.426
1991-05-22,312.753
1991-05-29,314.923
1991-06-05,318.024
1991-06-12,317.998
1991-06-19,316.583
1991-06-26,318.016
1991-07-03,318.647
1991-07-10,322.739
1991-07-17,320.174
1991-07-24,319.429
1991-07-31,317.892
1991-08-07,320.379
1991-08-14,320.077
1991-08-21,319.771
1991-08-28,319.257
1991-09-04,322.180
1991-09-11,323.188
1991-09-18,323.724
1991-09-25,318.461
1991-10-02,319.630
1991-10-09,321.370
1991-10-16,323.800
1991-10-23,321.362
1991-10-30,323.475
1991-11-06,325.090
1991-11-13,329.091
1991-11-20,326.709
1991-11-27,327.962
1991-12-04,331.945
1991-12-11,335.139
1991-12-18,332.912
1991-12-25,337.317
1992-01-01,339.311
1992-01-08,338.436
1992-01-15,333.869
1992-01-22,332.731
1992-01-29,327.112
1992-02-05,327.511
1992-02-12,329.429
1992-02-19,333.811
1992-02-26,331.896
1992-03-04,332.793
1992-03-11,336.130
1992-03-18,337.284
1992-03-25,334.076
1992-04-01,336.428
1992-04-08,332.074
1992-04-15,333.837
1992-04-22,332.965
1992-04-29,332.616
1992-05-06,333.238
1992-05-13,335.276
1992-05-20,332.725
1992-05-27,335.244
1992-06-03,335.618
1992-06-10,337.679
1992-06-17,336.160
1992-06-24,337.430
1992-07-01,336.080
1992-07-08,340.221
1992-07-15,340.570
1992-07-22,341.660
1992-07-29,339.394
1992-08-05,342.246
1992-08-12,341.951
1992-08-19,344.800
1992-08-26,340.652
1992-09-02,344.451
1992-09-09,347.156
1992-09-16,350.471
1992-09-23,344.351
1992-09-30,346.912
1992-10-07,347.226
1992-10-14,351.692
1992-10-21,349.869
1992-10-28,348.689
1992-11-04,351.573
1992-11-11,355.198
1992-11-18,356.213
1992-11-25,357.506
1992-12-02,358.101
1992-12-09,358.109
1992-12-16,360.346
1992-12-23,361.986
1992-12-30,366.942
1993-01-06,367.301
1993-01-13,361.960
1993-01-20,361.226
1993-01-27,354.749
1993-02-03,355.309
1993-02-10,357.572
1993-02-17,360.806
1993-02-24,359.179
1993-03-03,362.243
1993-03-10,361.215
1993-03-17,362.666
1993-03-24,362.175
1993-03-31,364.711
1993-04-07,365.904
1993-04-14,370.036
1993-04-21,369.329
1993-04-28,369.739
1993-05-05,367.861
1993-05-12,368.946
1993-05-19,369.373
1993-05-26,373.223
1993-06-02,371.903
1993-06-09,377.681
1993-06-16,375.317
1993-06-23,375.361
1993-06-30,375.337
1993-07-07,379.525
1993-07-14,379.648
1993-07-21,381.910
1993-07-28,376.257
1993-08-04,378.565
1993-08-11,381.208
1993-08-18,382.006
1993-08-25,379.497
1993-09-01,382.516
1993-09-08,384.800
1993-09-15,386.265
1993-09-22,380.219
1993-09-29,386.994
1993-10-06,385.678
1993-10-13,388.019
1993-10-20,388.658
1993-10-27,388.581
1993-11-03,386.701
1993-11-10,390.427
1993-11-17,391.331
1993-11-24,394.917
1993-12-01,393.523
1993-12-08,396.143
1993-12-15,395.998
1993-12-22,399.466
1993-12-29,403.465
1994-01-05,402.133
1994-01-12,399.410
1994-01-19,398.663
1994-01-26,392.855
1994-02-02,394.662
1994-02-09,396.213
1994-02-16,397.245
1994-02-23,397.245
1994-03-02,402.063
1994-03-09,399.296
1994-03-16,400.580
1994-03-23,400.814
1994-03-30,401.565
1994-04-06,406.057
1994-04-13,406.681
1994-04-20,408.197
1994-04-27,406.988
1994-05-04,404.474
1994-05-11,406.338
1994-05-18,406.466
1994-05-25,407.423
1994-06-01,409.480
1994-06-08,411.592
1994-06-15,410.579
1994-06-22,411.311
1994-06-29,409.816
1994-07-06,417.174
1994-07-13,417.397
1994-07-20,416.227
1994-07-27,411.642
1994-08-03,414.889
1994-08-10,416.912
1994-08-17,414.754
1994-08-24,414.782
1994-08-31,415.023
1994-09-07,418.319
1994-09-14,418.492
1994-09-21,415.411
1994-09-28,415.173
1994-10-05,416.026
1994-10-12,419.764
1994-10-19,418.894
1994-10-26,419.036
1994-11-02,419.030
1994-11-09,419.380
1994-11-16,423.687
1994-11-23,424.859
1994-11-30,424.528
1994-12-07,425.847
1994-12-14,425.441
1994-12-21,427.873
1994-12-28,431.692
1995-01-04,433.505
1995-01-11,429.360
1995-01-18,428.354
1995-01-25,421.850
1995-02-01,419.859
1995-02-08,420.784
1995-02-15,422.759
1995-02-22,423.722
1995-03-01,424.435
1995-03-08,425.377
1995-03-15,427.689
1995-03-22,426.665
1995-03-29,430.109
1995-04-05,430.921
1995-04-12,431.434
1995-04-19,434.399
1995-04-26,436.576
1995-05-03,431.723
1995-05-10,434.575
1995-05-17,433.614
1995-05-24,434.111
1995-05-31,434.787
1995-06-07,435.512
1995-06-14,434.919
1995-06-21,434.873
1995-06-28,432.854
1995-07-05,436.324
1995-07-12,438.723
1995-07-19,437.155
1995-07-26,433.017
1995-08-02,434.877
1995-08-09,436.018
1995-08-16,436.617
1995-08-23,434.610
1995-08-30,434.983
1995-09-06,437.030
1995-09-13,438.857
1995-09-20,435.486
1995-09-27,434.420
1995-10-04,434.697
1995-10-11,437.319
1995-10-18,438.082
1995-10-25,436.237
1995-11-01,435.214
1995-11-08,436.128
1995-11-15,437.921
1995-11-22,440.249
1995-11-29,441.812
1995-12-06,442.606
1995-12-13,441.499
1995-12-20,444.542
1995-12-27,448.229
1996-01-03,453.700
1996-01-10,448.208
1996-01-17,442.622
1996-01-24,436.897
1996-01-31,434.388
1996-02-07,434.194
1996-02-14,433.985
1996-02-21,435.516
1996-02-28,438.459
1996-03-06,438.309
1996-03-13,440.444
1996-03-20,439.727
1996-03-27,441.319
1996-04-03,441.717
1996-04-10,444.007
1996-04-17,444.192
1996-04-24,445.366
1996-05-01,438.060
1996-05-08,443.027
1996-05-15,441.443
1996-05-22,443.664
1996-05-29,443.061
1996-06-05,447.775
1996-06-12,443.441
1996-06-19,448.450
1996-06-26,445.140
1996-07-03,450.205
1996-07-10,452.004
1996-07-17,451.478
1996-07-24,445.828
1996-07-31,450.405
1996-08-07,450.997
1996-08-14,449.950
1996-08-21,450.248
1996-08-28,450.627
